name,psnr_before,psnr_after,ssim_before,ssim_after,status_code
001.png,26.883966,30.540109,N/A,N/A,0
002.png,26.863024,30.131284,N/A,N/A,0
003.png,26.854787,29.631570,N/A,N/A,0
004.png,26.851197,29.470423,N/A,N/A,0
005.png,26.840660,29.425193,N/A,N/A,0
006.png,26.835453,29.098561,N/A,N/A,0
007.png,26.857336,28.806563,N/A,N/A,0
008.png,26.825272,28.479814,N/A,N/A,0
009.png,26.851755,28.168482,N/A,N/A,0
010.png,26.864589,27.835207,N/A,N/A,0
011.png,26.877672,27.619605,N/A,N/A,0
012.png,26.831000,27.303298,N/A,N/A,0
013.png,26.890877,26.898325,N/A,N/A,0
014.png,26.837444,26.514095,N/A,N/A,0
015.png,26.854922,26.150875,N/A,N/A,0
016.png,26.847169,26.057161,N/A,N/A,0
017.png,26.848039,25.616809,N/A,N/A,0
018.png,26.888698,25.185909,N/A,N/A,0
019.png,26.855123,24.807506,N/A,N/A,0
020.png,26.857892,24.461112,N/A,N/A,0
021.png,26.837730,24.139220,N/A,N/A,0
022.png,26.823641,23.889122,N/A,N/A,0
023.png,26.863913,23.532754,N/A,N/A,0
024.png,26.858503,23.195596,N/A,N/A,0
025.png,26.859871,22.887304,N/A,N/A,0
026.png,26.821393,22.680246,N/A,N/A,0
027.png,26.866994,22.386617,N/A,N/A,0
028.png,26.852322,21.996720,N/A,N/A,0
029.png,26.827792,21.717333,N/A,N/A,0
030.png,26.858259,21.428535,N/A,N/A,0
